review_id,review_text,gold_sentiment,prompt_version,llm_output,valid_json,pred_sentiment
R011,"The visuals were stunning, but I could not connect with the characters.",mixed,v2,"{
  ""sentiment"": ""negative"",
  ""aspects"": [
    {
      ""aspect"": ""acting"",
      ""polarity"": ""negative"",
      ""evidence"": ""I could not connect with the characters.""
    }
  ],
  ""short_explanation"": ""The reviewer was unable to form a connection with the actors' portrayals."",
  ""confidence"": ""medium""
}",1,negative
R012,"Terrible acting, terrible writing, terrible direction.",negative,v2,"{
  ""sentiment"": ""negative"",
  ""aspects"": [
    {
      ""aspect"": ""acting | story | visuals | music | pacing | ending | dialogue | direction"",
      ""polarity"": ""negative"",
      ""evidence"": [""Terrible acting"", ""terrible writing"", ""terrible direction""]
    }
  ],
  ""short_explanation"": The reviewer found the movie to have poor quality in multiple aspects.
  ""confidence"": ""high""",0,
R013,A charming and heartwarming story that kept me engaged throughout.,positive,v2,"{
  ""sentiment"": ""positive"",
  ""aspects"": [
    {
      ""aspect"": ""story"",
      ""polarity"": ""positive"",
      ""evidence"": ""A charming and heartwarming story that kept me engaged throughout.""
    }
  ],
  ""short_explanation"": ""The reviewer praises the movie's engaging storyline."",
  ""confidence"": ""high""
}",1,positive
R014,It starts strong but becomes boring after the first hour.,mixed,v2,"{
  ""sentiment"": ""negative"",
  ""aspects"": [
    {
      ""aspect"": ""pacing"",
      ""polarity"": ""negative"",
      ""evidence"": ""becomes boring after the first hour.""
    }
  ],
  ""short_explanation"": ""Review criticizes pacing."",
  ""confidence"": ""high""",0,
R015,Not good. Not exciting. Not worth recommending.,negative,v2,"{
  ""sentiment"": ""negative"",
  ""aspects"": [
    {
      ""aspect"": ""other"",
      ""polarity"": ""negative"",
      ""evidence"": ""not good.""
    }
  ],
  ""short_explanation"": The review is overall negative, and the reviewer does not recommend the movie.
  ""confidence"": ""low""
}",0,
R016,"Not a masterpiece, but surprisingly entertaining.",positive,v2,"{
  ""sentiment"": ""neutral"",
  ""aspects"": [
    {
      ""aspect"": ""other"",
      ""polarity"": ""neutral"",
      ""evidence"": ""surprisingly entertaining""
    }
  ],
  ""short_explanation"": ""The reviewer found the movie to be neither strongly positive nor negative, but rather mildly enjoyable."",
  ""confidence"": ""high""
}",1,neutral
R017,"I loved the cast, although the ending was disappointing.",mixed,v2,"{
  ""sentiment"": ""positive"",
  ""aspects"": [
    {
      ""aspect"": ""acting"",
      ""polarity"": ""positive"",
      ""evidence"": ""loved the cast""
    }
  ],
  ""short_explanation"": """",
  ""confidence"": ""high""",0,
R018,This film exceeded my expectations in every way.,positive,v2,"{
  ""sentiment"": ""positive"",
  ""aspects"": [
    {
      ""aspect"": ""other"",
      ""polarity"": ""positive"",
      ""evidence"": ""exceeded my expectations""
    }
  ],
  ""short_explanation"": The reviewer's glowing statement indicates a highly positive experience."",
  ""confidence"": ""high""",0,
R019,I struggled to stay awake. The movie felt endless.,negative,v2,"{
  ""sentiment"": ""negative"",
  ""aspects"": [
    {
      ""aspect"": "" pacing"",
      ""polarity"": ""negative"",
      ""evidence"": ""The movie felt endless.""
    }
  ],
  ""short_explanation"": ""Review criticizes the pace of the movie."",
  ""confidence"": ""high""",0,
R020,"Some scenes were excellent, others were frustratingly bad.",mixed,v2,"{""sentiment"": ""negative"", ""aspects"": [{""aspect"": ""acting | story | visuals | music | pacing | ending | dialogue | direction | other"", ""polarity"": ""negative"", ""evidence"": ""frustratingly bad""}], ""short_explanation"": ""The reviewer found some scenes to be excellent but most of the scenes were very poor and frustrating."", ""confidence"": ""medium""}",1,negative
R021,"The movie was okay. Nothing special, nothing awful.",neutral,v2,"{
  ""sentiment"": ""neutral"",
  ""aspects"": [
    {
      ""aspect"": ""acting | story | visuals | music | pacing | ending | dialogue | direction | other"",
      ""polarity"": ""neutral"",
      ""evidence"": ""nothing special, nothing awful""
    }
  ],
  ""short_explanation"": The reviewer found the movie average without any standout qualities,
  ""confidence"": ""low""",0,
R022,Brilliant direction and memorable performances make this a must-watch.,positive,v2,"{
  ""sentiment"": ""positive"",
  ""aspects"": [
    {
      ""aspect"": ""direction | acting"",
      ""polarity"": ""positive"",
      ""evidence"": ""Brilliant direction and memorable performances""
    }
  ],
  ""short_explanation"": ""The reviewer praises the direction and acting."",
  ""confidence"": ""high""",0,
R023,The dialogue was awkward and the jokes rarely landed.,negative,v2,"{
  ""sentiment"": ""negative"",
  ""aspects"": [
    {
      ""aspect"": ""dialogue"",
      ""polarity"": ""negative"",
      ""evidence"": ""the dialogue was awkward""
    }
  ],
  ""short_explanation"": ""The reviewer criticized the dialogue, stating it was awkward and jokes rarely landed."",
  ""confidence"": ""high""
}",1,negative
R024,"While the acting was strong, the story itself was predictable.",mixed,v2,"{
  ""sentiment"": ""mixed"",
  ""aspects"": [
    {
      ""aspect"": ""acting"",
      ""polarity"": ""positive"",
      ""evidence"": ""the acting was strong""
    },
    {
      ""aspect"": ""story"",
      ""polarity"": ""negative"",
      ""evidence"": ""the story itself was predictable""
    }
  ],
  ""short_explanation"": ""The reviewer found the acting to be positive but had mixed feelings about the predictability of the story."",
  ""confidence"": ""medium""",0,
R025,A surprisingly thoughtful film that stays with you afterward.,positive,v2,"{
  ""sentiment"": ""positive"",
  ""aspects"": [
    {
      ""aspect"": ""other"",
      ""polarity"": ""positive"",
      ""evidence"": ""surprisingly thoughtful film""
    }
  ],
  ""short_explanation"": ""The reviewer found the movie to be a thought-provoking experience."",
  ""confidence"": ""high""
}",1,positive
R026,"I cannot say I hated it, but I would never watch it again.",negative,v2,"{
  ""sentiment"": ""negative"",
  ""aspects"": [
    {
      ""aspect"": ""other"",
      ""polarity"": ""negative"",
      ""evidence"": ""I would never watch it again.""
    }
  ],
  ""short_explanation"": The reviewer expresses reluctance to watch the movie again, implying a negative experience.
  ""confidence"": ""high""
}",0,
R027,"The movie tries many ideas; some work wonderfully, others do not.",mixed,v2,"{
  ""sentiment"": ""neutral"",
  ""aspects"": [
    {
      ""aspect"": ""story"",
      ""polarity"": ""mixed"",
      ""evidence"": ""some work wonderfully, others do not.""
    }
  ],
  ""short_explanation"": ""The review is neutral as it mentions both positive and negative aspects of the movie's ideas."",
  ""confidence"": ""medium""",0,
R028,An unforgettable experience with excellent performances.,positive,v2,"{
  ""sentiment"": ""positive"",
  ""aspects"": [
    {
      ""aspect"": ""acting"",
      ""polarity"": ""positive"",
      ""evidence"": ""excellent performances""
    }
  ],
  ""short_explanation"": ""The reviewer enjoyed the acting."",
  ""confidence"": ""high""",0,
R029,The trailer was better than the actual movie.,negative,v2,"{
  ""sentiment"": ""negative"",
  ""aspects"": [
    {
      ""aspect"": ""acting | story | visuals | music | pacing | ending | dialogue | direction"",
      ""polarity"": ""negative"",
      ""evidence"": ""The trailer was better than the actual movie.""
    }
  ],
  ""short_explanation"": ""Negative sentiment due to trailer being superior"",
  ""confidence"": ""high""
}",1,negative
